spec,q_len,kv_len,num_seqs,page_size,dtype,provenance,impl,num_kv_pages_per_block,num_queries_per_block,bkv_sz,bq_sz,decode_batch_size,mixed_q_split,batch_size,n_buffer,q_split,bq_c_sz,bands,kv_slack_pad_lanes,p_same_dtype_as_v,device_total_ms,device_kernel_ms,device_non_kernel_ms,total_speedup_v3_over_v2,kernel_speedup_v3_over_v2,winner,reachable_now,note
decode_bf16,1,8192,3,256,bf16,TUNED_DONATED,v2,8,1,2048,1,1,1,,,,,,,,0.0533,0.0280,0.0253,,,,yes,
decode_bf16,1,8192,3,256,bf16,TUNED_DONATED,v3,8,1,2048,1,,,4,2,1,1,,128,False,0.0728,0.0274,0.0454,0.732,1.022,v2,yes,
decode_f8,1,8192,128,256,fp8,TUNED_DONATED,v2,8,1,2048,1,8,1,,,,,,,,0.4800,0.4164,0.0636,,,,yes,
decode_f8,1,8192,128,256,fp8,TUNED_DONATED,v3,32,1,8192,1,,,2,2,1,1,,128,False,0.4720,0.4112,0.0608,1.017,1.013,v3,yes,
decode_f8_kv9216,1,9216,128,256,fp8,TUNED_DONATED,v2,12,1,3072,1,8,1,,,,,,,,0.4896,0.4265,0.0631,,,,yes,
decode_f8_kv9216,1,9216,128,256,fp8,TUNED_DONATED,v3,36,1,9216,1,,,2,2,1,1,,128,False,0.5179,0.4537,0.0642,0.945,0.940,v2,yes,
decode_f8_kv9216_p1024,1,9216,128,1024,fp8,TUNED_DONATED,v2,3,1,3072,1,8,1,,,,,,,,0.4652,0.4023,0.0629,,,,yes,
decode_f8_kv9216_p1024,1,9216,128,1024,fp8,TUNED_DONATED,v3,3,1,3072,1,,,4,2,1,1,,128,False,0.5063,0.4267,0.0796,0.919,0.943,v2,yes,
prefill_bf16,2048,2048,2,256,bf16,TUNED_DONATED,v2,8,16,2048,16,1,4,,,,,,,,9.7253,8.0844,1.6409,,,,yes,
prefill_bf16,2048,2048,2,256,bf16,TUNED_DONATED,v3,2,32,512,32,,,1,2,8,4,,0,False,2.8922,2.6887,0.2035,3.363,3.007,v3,yes,
chunked_prefill_f8_kv1024,256,1024,1,256,fp8,TUNED_DONATED,v2,4,32,1024,32,1,4,,,,,,,,0.1756,0.0941,0.0815,,,,yes,
chunked_prefill_f8_kv1024,256,1024,1,256,fp8,TUNED_DONATED,v3,4,32,1024,32,,,1,2,8,4,,128,True,0.1332,0.0987,0.0345,1.318,0.953,v3,yes,
chunked_prefill_f8_kv8192,256,8192,1,256,fp8,TUNED_DONATED,v2,8,32,2048,32,1,4,,,,,,,,0.6106,0.5290,0.0816,,,,yes,
chunked_prefill_f8_kv8192,256,8192,1,256,fp8,TUNED_DONATED,v3,8,32,2048,32,,,1,2,16,2,,128,True,0.6269,0.5719,0.0550,0.974,0.925,v2,yes,
